YEAR,MES,T_MAX,T_MED,T_MIN,LLUVIA
2020,1,20.0,10.8,1.6,6.0
2020,2,20.9,12.0,3.1,20.2
2020,3,25.4,16.7,8.1,27.3
2020,4,28.9,19.4,9.9,3.3
2020,5,33.4,23.7,13.9,6.2
2020,6,35.3,25.8,17.6,19.5
2020,7,33.6,26.1,18.6,82.8
2020,8,35.1,26.0,18.1,32.4
2020,9,30.4,25.7,14.8,49.1
2020,10,30.7,25.1,9.4,0.1
2020,11,26.7,24.8,5.8,1.5
2020,12,19.5,22.4,-0.3,12.4
2021,1,19.7,9.9,0.1,20.6
2021,2,23.3,13.4,3.5,9.3
2021,3,25.7,15.4,5.1,0.7
2021,4,29.0,19.3,9.6,3.0
2021,5,32.5,22.8,13.1,6.8
2021,6,35.1,26.5,17.9,61.6
2021,7,31.3,24.5,17.8,114.2
2021,8,31.2,24.5,17.7,105.4
2021,9,30.8,23.0,15.3,46.1
2021,10,29.1,20.0,10.8,7.7
2021,11,25.3,15.5,5.8,11.2
2021,12,22.9,13.9,4.9,24.0
2022,1,20.3,15.4,1.4,0.1
2022,2,21.1,16.2,1.1,3.8
2022,3,26.0,18.5,4.0,0.2
2022,4,31.2,20.7,10.2,1.7
2022,5,34.9,21.7,13.8,0.7
2022,6,35.0,19.3,18.2,69.6
2022,7,33.6,19.7,18.4,83.9
2022,8,30.7,19.1,17.7,205.6
2022,9,29.3,18.2,15.2,60.6
2022,10,26.7,18.2,19.5,39.0
2022,11,22.9,17.4,3.6,1.1
2022,12,21.4,15.2,2.6,6.3
2023,1,21.0,11.3,16.1,8.5
2023,2,21.7,12.3,16.4,12.9
2023,3,25.7,16.0,18.4,18.9
2023,4,27.6,18.5,19.3,1.3
2023,5,30.9,22.1,19.4,17.7
2023,6,36.0,16.5,21.9,10.0
2023,7,35.8,27.7,21.3,37.8
2023,8,34.5,26.6,21.5,56.3
2023,9,33.7,25.1,21.1,25.0
2023,10,28.1,20.0,21.1,24.5
2023,11,21.7,14.3,19.7,8.4
2023,12,19.6,10.5,17.8,3.3
2024,1,18.4,19.8,1.1,9.5
2024,2,21.2,12.6,4.0,11.6
2024,3,23.6,14.9,6.2,3.2
2024,4,28.0,18.6,9.3,1.3
2024,5,33.6,23.8,14.0,0.3
2024,6,36.0,30.0,23.9,38.7
2024,7,33.5,26.5,19.5,79.8
2024,8,33.9,26.6,19.3,56.8
2024,9,31.4,23.6,15.8,37.0
2024,10,30.1,21.0,11.8,2.1
2024,11,24.2,14.7,5.1,3.5
2024,12,21.7,12.1,2.6,0.1
2025,1,17.2,8.3,-0.5,11.4
2025,2,25.1,14.6,4.1,0.0
2025,3,25.1,15.5,5.9,0.8
2025,4,28.5,18.9,9.4,2.6
2025,5,31.6,22.5,13.4,6.2
2025,6,34.7,26.6,18.6,75.8
2025,7,31.9,25.0,18.2,104.7
2025,8,32.5,25.3,18.0,79.0
2025,9,29.9,23.4,16.8,90.1
2025,10,28.8,20.6,12.4,29.3
2025,11,24.8,15.5,6.2,4.4
2025,12,22.3,13.2,4.1,2.1
